ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
MRO.L,Melrose Industries,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Aerospace & defence,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
MTLN.L,Metlen Energy & Metals,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Multiline utilities,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
NG.L,National Grid plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Multiline utilities,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
NWG.L,NatWest Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Banks,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
NXT.L,Next plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,General retailers,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
PSON.L,Pearson plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Media,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
PSH.L,Pershing Square Holdings,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
PSN.L,Persimmon,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Household goods & home construction,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
PCT.L,Polar Capital Technology Trust,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Investment trusts,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
PRU.L,Prudential plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Life insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
RKT.L,Reckitt,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Household goods & home construction,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
REL.L,RELX,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Media,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
