ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
CVX,Chevron Corporation,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/CVX,2026-07-02,Yahoo Finance via yfinance,329987817472.0,41,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
HSBC,"HSBC Holdings, plc.",NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/HSBC,2026-07-02,Yahoo Finance via yfinance,328593997824.0,42,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NFLX,"Netflix, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NFLX,2026-07-02,Yahoo Finance via yfinance,312399167488.0,43,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MRK,"Merck & Company, Inc.",NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MRK,2026-07-02,Yahoo Finance via yfinance,309641904128.0,44,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GEV,GE Vernova Inc.,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GEV,2026-07-02,Yahoo Finance via yfinance,304822517760.0,45,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PLTR,Palantir Technologies Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PLTR,2026-07-02,Yahoo Finance via yfinance,301414055936.0,46,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SNDK,Sandisk Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SNDK,2026-07-02,Yahoo Finance via yfinance,300950978560.0,47,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GS,"Goldman Sachs Group, Inc. (The)",NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GS,2026-07-02,Yahoo Finance via yfinance,300792512512.0,48,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NVS,Novartis AG,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVS,2026-07-02,Yahoo Finance via yfinance,294113280000.0,49,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
RY,Royal Bank Of Canada,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/RY,2026-07-02,Yahoo Finance via yfinance,289480572928.0,50,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PANW,"Palo Alto Networks, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PANW,2026-07-02,Yahoo Finance via yfinance,286912610304.0,51,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AZN,AstraZeneca PLC,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AZN,2026-07-02,Yahoo Finance via yfinance,285141532672.0,52,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PM,Philip Morris International Inc,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PM,2026-07-02,Yahoo Finance via yfinance,276940324864.0,53,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
