Date,Strategy,Is_Rebalance_Date,Asset_Count,Nonzero_Weight_Count,Weight_Sum,Min_Weight,Max_Weight,Long_Only,Sum_To_One,Cap_Check_Applies,Max_Weight_Cap,Cap_Respected_On_Rebalance,Top_Ticker,Top_Asset_Class,Top_Weight
2020-01-17,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0023314590770578516,0.06361307117856153,True,True,False,0.25,True,XLU,us_equity_sectors,0.06361307117856153
2020-01-20,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.002297768505041698,0.06367315923111275,True,True,False,0.25,True,XLU,us_equity_sectors,0.06367315923111275
2020-01-21,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023027786473385223,0.06381199462185654,True,True,False,0.25,True,XLU,us_equity_sectors,0.06381199462185654
2020-01-22,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.002336425814747296,0.06465668038554943,True,True,False,0.25,True,XLU,us_equity_sectors,0.06465668038554943
2020-01-23,Asset-Class Momentum Rotation,False,37,37,1.0,0.002345375774179737,0.06487873702042565,True,True,False,0.25,True,XLU,us_equity_sectors,0.06487873702042565
2020-01-24,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0023693027743893666,0.06566270082899234,True,True,False,0.25,True,XLU,us_equity_sectors,0.06566270082899234
2020-01-27,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0023997073551577834,0.06614589875585587,True,True,False,0.25,True,XLU,us_equity_sectors,0.06614589875585587
2020-01-28,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.002461495598683673,0.0666437085534852,True,True,False,0.25,True,XLU,us_equity_sectors,0.0666437085534852
2020-01-29,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0024203667477523333,0.06631860929574354,True,True,False,0.25,True,XLU,us_equity_sectors,0.06631860929574354
2020-01-30,Asset-Class Momentum Rotation,False,37,37,1.0,0.002445524989457908,0.06653345147688258,True,True,False,0.25,True,XLU,us_equity_sectors,0.06653345147688258
2020-01-31,Asset-Class Momentum Rotation,False,37,37,1.0,0.0024383112923417752,0.06694635063213161,True,True,False,0.25,True,XLU,us_equity_sectors,0.06694635063213161
2020-02-03,Asset-Class Momentum Rotation,False,37,37,1.0,0.0024975680769637617,0.06764895922210391,True,True,False,0.25,True,XLU,us_equity_sectors,0.06764895922210391
2020-02-04,Asset-Class Momentum Rotation,False,37,37,1.0,0.0024810600783875232,0.0674707486745541,True,True,False,0.25,True,XLU,us_equity_sectors,0.0674707486745541
2020-02-05,Asset-Class Momentum Rotation,False,37,37,1.0,0.002421327053408786,0.06607973360240227,True,True,False,0.25,True,XLU,us_equity_sectors,0.06607973360240227
2020-02-06,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0023644774854929334,0.06550828022292943,True,True,False,0.25,True,XLU,us_equity_sectors,0.06550828022292943
2020-02-07,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023653675070656605,0.06525791946718192,True,True,False,0.25,True,XLU,us_equity_sectors,0.06525791946718192
2020-02-10,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0024023609703163204,0.06525239230761845,True,True,False,0.25,True,XLU,us_equity_sectors,0.06525239230761845
2020-02-11,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0023940296780431726,0.06509229296252284,True,True,False,0.25,True,XLU,us_equity_sectors,0.06509229296252284
2020-02-12,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0023622729169365865,0.06478860519531643,True,True,False,0.25,True,XLU,us_equity_sectors,0.06478860519531643
2020-02-13,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.002324187192317809,0.06411496809143061,True,True,False,0.25,True,XLU,us_equity_sectors,0.06411496809143061
2020-02-14,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.00233486608070449,0.06487791708405084,True,True,False,0.25,True,XLU,us_equity_sectors,0.06487791708405084
2020-02-17,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023338637756975147,0.06500145426804413,True,True,False,0.25,True,XLU,us_equity_sectors,0.06500145426804413
2020-02-18,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023599215835931023,0.06572720159995268,True,True,False,0.25,True,XLU,us_equity_sectors,0.06572720159995268
2020-02-19,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0023708221465542786,0.0661313018534213,True,True,False,0.25,True,XLU,us_equity_sectors,0.0661313018534213
2020-02-20,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0023839744599920706,0.06578133173411028,True,True,False,0.25,True,XLU,us_equity_sectors,0.06578133173411028
2020-02-21,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0024099883598360607,0.06621724339871599,True,True,False,0.25,True,XLU,us_equity_sectors,0.06621724339871599
2020-02-24,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0024372982886328824,0.06622545396135951,True,True,False,0.25,True,XLU,us_equity_sectors,0.06622545396135951
2020-02-25,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.002534308899720237,0.06705745838449469,True,True,False,0.25,True,XLU,us_equity_sectors,0.06705745838449469
2020-02-26,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.002611817426014147,0.06729842196537292,True,True,False,0.25,True,XLU,us_equity_sectors,0.06729842196537292
2020-02-27,Asset-Class Momentum Rotation,False,37,37,1.0,0.0026270319329964238,0.0673608659236035,True,True,False,0.25,True,XLU,us_equity_sectors,0.0673608659236035
2020-02-28,Asset-Class Momentum Rotation,False,37,37,1.0,0.0027352576645284883,0.0662622211769716,True,True,False,0.25,True,XLU,us_equity_sectors,0.0662622211769716
2020-03-02,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0028332245938536846,0.06487643353768695,True,True,False,0.25,True,XLU,us_equity_sectors,0.06487643353768695
2020-03-03,Asset-Class Momentum Rotation,False,37,37,1.0,0.0027325634233598107,0.06674556768794478,True,True,False,0.25,True,XLU,us_equity_sectors,0.06674556768794478
2020-03-04,Asset-Class Momentum Rotation,False,37,37,1.0,0.0028050289581275038,0.06663811023176691,True,True,False,0.25,True,XLU,us_equity_sectors,0.06663811023176691
2020-03-05,Asset-Class Momentum Rotation,False,37,37,1.0,0.002700001010423333,0.06851012100652586,True,True,False,0.25,True,XLU,us_equity_sectors,0.06851012100652586
2020-03-06,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0028171909414959214,0.06867174246341412,True,True,False,0.25,True,XLU,us_equity_sectors,0.06867174246341412
2020-03-09,Asset-Class Momentum Rotation,False,37,37,1.0,0.0029944327442371524,0.06881732004790693,True,True,False,0.25,True,XLU,us_equity_sectors,0.06881732004790693
2020-03-10,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0031692398998128877,0.07027897434236761,True,True,False,0.25,True,XLU,us_equity_sectors,0.07027897434236761
2020-03-11,Asset-Class Momentum Rotation,False,37,37,1.0,0.0030589756771646744,0.06885396933282675,True,True,False,0.25,True,XLU,us_equity_sectors,0.06885396933282675
2020-03-12,Asset-Class Momentum Rotation,False,37,37,1.0,0.0030738697782980518,0.0682212736835916,True,True,False,0.25,True,XLU,us_equity_sectors,0.0682212736835916
2020-03-13,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.003491169743536858,0.06923287650363388,True,True,False,0.25,True,XLU,us_equity_sectors,0.06923287650363388
2020-03-16,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.0031982152586187045,0.06842582594287745,True,True,False,0.25,True,XLU,us_equity_sectors,0.06842582594287745
2020-03-17,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.003521870913767843,0.06779952887718826,True,True,False,0.25,True,XLU,us_equity_sectors,0.06779952887718826
2020-03-18,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0031677025735229523,0.07287871087783686,True,True,False,0.25,True,XLU,us_equity_sectors,0.07287871087783686
2020-03-19,Asset-Class Momentum Rotation,False,37,37,1.0,0.002759449244677423,0.07361474056603262,True,True,False,0.25,True,XLU,us_equity_sectors,0.07361474056603262
2020-03-20,Asset-Class Momentum Rotation,False,37,37,1.0,0.0031178190045075063,0.0687062699553308,True,True,False,0.25,True,XLU,us_equity_sectors,0.0687062699553308
2020-03-23,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.002940740098880198,0.06545714094746731,True,True,False,0.25,True,XLP,us_equity_sectors,0.06545714094746731
2020-03-24,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0029705429416054807,0.06495270237600857,True,True,False,0.25,True,XLP,us_equity_sectors,0.06495270237600857
2020-03-25,Asset-Class Momentum Rotation,False,37,37,1.0,0.002820492526286124,0.06485150781693985,True,True,False,0.25,True,XLU,us_equity_sectors,0.06485150781693985
2020-03-26,Asset-Class Momentum Rotation,False,37,37,1.0,0.002814731512894484,0.06506433711321588,True,True,False,0.25,True,XLU,us_equity_sectors,0.06506433711321588
2020-03-27,Asset-Class Momentum Rotation,False,37,37,1.0,0.0025584306218780564,0.06750308888161737,True,True,False,0.25,True,XLU,us_equity_sectors,0.06750308888161737
2020-03-30,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0024252153578453186,0.06951620559258437,True,True,False,0.25,True,XLU,us_equity_sectors,0.06951620559258437
2020-03-31,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.002251842106691599,0.0707324156906939,True,True,False,0.25,True,XLU,us_equity_sectors,0.0707324156906939
2020-04-01,Asset-Class Momentum Rotation,False,37,37,1.0,0.0022644012547062007,0.06858096002994685,True,True,False,0.25,True,XLU,us_equity_sectors,0.06858096002994685
2020-04-02,Asset-Class Momentum Rotation,False,37,37,1.0,0.0024442546674525094,0.06687863830710485,True,True,False,0.25,True,XLU,us_equity_sectors,0.06687863830710485
2020-04-03,Asset-Class Momentum Rotation,False,37,37,1.0,0.002792565376658834,0.06754321668445025,True,True,False,0.25,True,XLU,us_equity_sectors,0.06754321668445025
2020-04-06,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0032657154658154294,0.06722345971955006,True,True,False,0.25,True,XLP,us_equity_sectors,0.06722345971955006
2020-04-07,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0028671976604227284,0.06717034422455762,True,True,False,0.25,True,XLU,us_equity_sectors,0.06717034422455762
2020-04-08,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.0026579877283392666,0.06619909646402021,True,True,False,0.25,True,XLU,us_equity_sectors,0.06619909646402021
2020-04-09,Asset-Class Momentum Rotation,False,37,37,1.0,0.002729245615155086,0.06793817796296947,True,True,False,0.25,True,XLU,us_equity_sectors,0.06793817796296947
2020-04-10,Asset-Class Momentum Rotation,True,37,37,1.0,0.0036968363923782577,0.25,True,True,True,0.25,True,SHY,fixed_income,0.25
2020-04-13,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.003714945303267872,0.2512246221476659,True,True,False,0.25,True,SHY,fixed_income,0.2512246221476659
2020-04-14,Asset-Class Momentum Rotation,False,37,37,1.0,0.0037023646755107056,0.2529423605353458,True,True,False,0.25,True,SHY,fixed_income,0.2529423605353458
2020-04-15,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.0034627729985398834,0.2502807211227725,True,True,False,0.25,True,SHY,fixed_income,0.2502807211227725
2020-04-16,Asset-Class Momentum Rotation,False,37,37,1.0,0.0033399609308560883,0.2540254645362703,True,True,False,0.25,True,SHY,fixed_income,0.2540254645362703
2020-04-17,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.003271269924031466,0.2528538050665595,True,True,False,0.25,True,SHY,fixed_income,0.2528538050665595
2020-04-20,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.003119938286841314,0.24966259199983395,True,True,False,0.25,True,SHY,fixed_income,0.24966259199983395
