Date,Strategy,Window,Rolling_CAGR_Diff_vs_Equal_Weight
2021-08-02,Momentum Tilt 6M/12M,1Y,0.22527334889571038
2021-08-03,Momentum Tilt 6M/12M,1Y,0.2298251834406484
2021-08-04,Momentum Tilt 6M/12M,1Y,0.24106981204789135
2021-08-05,Momentum Tilt 6M/12M,1Y,0.24867681100078154
2021-08-06,Momentum Tilt 6M/12M,1Y,0.26492870391193657
2021-08-09,Momentum Tilt 6M/12M,1Y,0.27583732622460766
2021-08-10,Momentum Tilt 6M/12M,1Y,0.30611415818002174
2021-08-11,Momentum Tilt 6M/12M,1Y,0.33085789824020617
2021-08-12,Momentum Tilt 6M/12M,1Y,0.34183260885322975
2021-08-13,Momentum Tilt 6M/12M,1Y,0.3779820690873743
2021-08-16,Momentum Tilt 6M/12M,1Y,0.38855668268622323
2021-08-17,Momentum Tilt 6M/12M,1Y,0.3643080647714363
2021-08-18,Momentum Tilt 6M/12M,1Y,0.34871963190195165
2021-08-19,Momentum Tilt 6M/12M,1Y,0.38375738838204576
2021-08-20,Momentum Tilt 6M/12M,1Y,0.4144412369948902
2021-08-23,Momentum Tilt 6M/12M,1Y,0.48238357898917217
2021-08-24,Momentum Tilt 6M/12M,1Y,0.45088708467467353
2021-08-25,Momentum Tilt 6M/12M,1Y,0.4859572372021974
2021-08-26,Momentum Tilt 6M/12M,1Y,0.4502051268558396
2021-08-27,Momentum Tilt 6M/12M,1Y,0.4948703708158546
2021-08-30,Momentum Tilt 6M/12M,1Y,0.44944512714754214
2021-08-31,Momentum Tilt 6M/12M,1Y,0.46347180367594687
2021-09-01,Momentum Tilt 6M/12M,1Y,0.5050861789022574
2021-09-02,Momentum Tilt 6M/12M,1Y,0.5139508085666846
2021-09-03,Momentum Tilt 6M/12M,1Y,0.5269616995137061
2021-09-06,Momentum Tilt 6M/12M,1Y,0.5116952567312687
2021-09-07,Momentum Tilt 6M/12M,1Y,0.44082422014836964
2021-09-08,Momentum Tilt 6M/12M,1Y,0.43931903678774864
2021-09-09,Momentum Tilt 6M/12M,1Y,0.43896008252465135
2021-09-10,Momentum Tilt 6M/12M,1Y,0.417116602395859
2021-09-13,Momentum Tilt 6M/12M,1Y,0.41405512194053484
2021-09-14,Momentum Tilt 6M/12M,1Y,0.4052614961379315
2021-09-15,Momentum Tilt 6M/12M,1Y,0.4306932158858392
2021-09-16,Momentum Tilt 6M/12M,1Y,0.41730219895503895
2021-09-17,Momentum Tilt 6M/12M,1Y,0.4057222887687777
2021-09-20,Momentum Tilt 6M/12M,1Y,0.3490998900084539
2021-09-21,Momentum Tilt 6M/12M,1Y,0.3369865717960905
2021-09-22,Momentum Tilt 6M/12M,1Y,0.38393809332402995
2021-09-23,Momentum Tilt 6M/12M,1Y,0.40331746032026805
2021-09-24,Momentum Tilt 6M/12M,1Y,0.38588246155595973
2021-09-27,Momentum Tilt 6M/12M,1Y,0.3680194229477112
2021-09-28,Momentum Tilt 6M/12M,1Y,0.3453898703869238
2021-09-29,Momentum Tilt 6M/12M,1Y,0.3496527670548266
2021-09-30,Momentum Tilt 6M/12M,1Y,0.36251517791758614
2021-10-01,Momentum Tilt 6M/12M,1Y,0.3914513472972194
2021-10-04,Momentum Tilt 6M/12M,1Y,0.3910854845601748
2021-10-05,Momentum Tilt 6M/12M,1Y,0.40982930286471464
2021-10-06,Momentum Tilt 6M/12M,1Y,0.4006003059989769
2021-10-07,Momentum Tilt 6M/12M,1Y,0.4139983571893697
2021-10-08,Momentum Tilt 6M/12M,1Y,0.39512925645477015
2021-10-11,Momentum Tilt 6M/12M,1Y,0.3857212133128207
2021-10-12,Momentum Tilt 6M/12M,1Y,0.38795965001714783
2021-10-13,Momentum Tilt 6M/12M,1Y,0.4061890454120167
2021-10-14,Momentum Tilt 6M/12M,1Y,0.40496703789924426
2021-10-15,Momentum Tilt 6M/12M,1Y,0.41729099602468267
2021-10-18,Momentum Tilt 6M/12M,1Y,0.41219562960648126
2021-10-19,Momentum Tilt 6M/12M,1Y,0.41937007349055655
2021-10-20,Momentum Tilt 6M/12M,1Y,0.43889907944983086
2021-10-21,Momentum Tilt 6M/12M,1Y,0.42164606842354413
2021-10-22,Momentum Tilt 6M/12M,1Y,0.41633274650140617
2021-10-25,Momentum Tilt 6M/12M,1Y,0.4163335726936297
2021-10-26,Momentum Tilt 6M/12M,1Y,0.40012418851346765
2021-10-27,Momentum Tilt 6M/12M,1Y,0.3840198278056317
2021-10-28,Momentum Tilt 6M/12M,1Y,0.4152334979246737
2021-10-29,Momentum Tilt 6M/12M,1Y,0.42794789818905676
2021-11-01,Momentum Tilt 6M/12M,1Y,0.4195828186715773
2021-11-02,Momentum Tilt 6M/12M,1Y,0.43076745331965927
2021-11-03,Momentum Tilt 6M/12M,1Y,0.45040087348618085
2021-11-04,Momentum Tilt 6M/12M,1Y,0.4327088066733762
2021-11-05,Momentum Tilt 6M/12M,1Y,0.44467273603206103
2021-11-08,Momentum Tilt 6M/12M,1Y,0.47816838027347486
2021-11-09,Momentum Tilt 6M/12M,1Y,0.4717271062647288
2021-11-10,Momentum Tilt 6M/12M,1Y,0.4451293760424522
2021-11-11,Momentum Tilt 6M/12M,1Y,0.44924106441468425
2021-11-12,Momentum Tilt 6M/12M,1Y,0.45006997085716804
2021-11-15,Momentum Tilt 6M/12M,1Y,0.458153259722369
2021-11-16,Momentum Tilt 6M/12M,1Y,0.42748993565420945
2021-11-17,Momentum Tilt 6M/12M,1Y,0.3998441539044817
2021-11-18,Momentum Tilt 6M/12M,1Y,0.3817945541880594
2021-11-19,Momentum Tilt 6M/12M,1Y,0.40486925784184
2021-11-22,Momentum Tilt 6M/12M,1Y,0.3812345757084774
2021-11-23,Momentum Tilt 6M/12M,1Y,0.4074421941894031
2021-11-24,Momentum Tilt 6M/12M,1Y,0.39115136957493557
2021-11-25,Momentum Tilt 6M/12M,1Y,0.40247618086537584
2021-11-26,Momentum Tilt 6M/12M,1Y,0.37533358782108883
2021-11-29,Momentum Tilt 6M/12M,1Y,0.4067933457745392
2021-11-30,Momentum Tilt 6M/12M,1Y,0.4034654568208613
2021-12-01,Momentum Tilt 6M/12M,1Y,0.38026370881866733
2021-12-02,Momentum Tilt 6M/12M,1Y,0.3922679805346505
2021-12-03,Momentum Tilt 6M/12M,1Y,0.35872226821093256
2021-12-06,Momentum Tilt 6M/12M,1Y,0.3483242548774361
2021-12-07,Momentum Tilt 6M/12M,1Y,0.34126987450695134
2021-12-08,Momentum Tilt 6M/12M,1Y,0.35502777902402105
2021-12-09,Momentum Tilt 6M/12M,1Y,0.3188198508298816
2021-12-10,Momentum Tilt 6M/12M,1Y,0.30282817926235417
2021-12-13,Momentum Tilt 6M/12M,1Y,0.2891902670985933
2021-12-14,Momentum Tilt 6M/12M,1Y,0.2798985356447339
2021-12-15,Momentum Tilt 6M/12M,1Y,0.2742024936458056
2021-12-16,Momentum Tilt 6M/12M,1Y,0.2532093168800331
2021-12-17,Momentum Tilt 6M/12M,1Y,0.24951063589831501
2021-12-20,Momentum Tilt 6M/12M,1Y,0.25745036921679065
2021-12-21,Momentum Tilt 6M/12M,1Y,0.26879850462395005
2021-12-22,Momentum Tilt 6M/12M,1Y,0.22142643301617015
2021-12-23,Momentum Tilt 6M/12M,1Y,0.22594117621817333
2021-12-24,Momentum Tilt 6M/12M,1Y,0.19054961458740016
2021-12-27,Momentum Tilt 6M/12M,1Y,0.20961639907871765
2021-12-28,Momentum Tilt 6M/12M,1Y,0.18310979158561835
2021-12-29,Momentum Tilt 6M/12M,1Y,0.1956024495233537
2021-12-30,Momentum Tilt 6M/12M,1Y,0.20951486389059149
2021-12-31,Momentum Tilt 6M/12M,1Y,0.1829037293741047
2022-01-03,Momentum Tilt 6M/12M,1Y,0.1739338688419454
2022-01-04,Momentum Tilt 6M/12M,1Y,0.17995558723412075
2022-01-05,Momentum Tilt 6M/12M,1Y,0.13861288562120233
2022-01-06,Momentum Tilt 6M/12M,1Y,0.13343098683821508
2022-01-07,Momentum Tilt 6M/12M,1Y,0.1155510753093596
2022-01-10,Momentum Tilt 6M/12M,1Y,0.13395248436454055
2022-01-11,Momentum Tilt 6M/12M,1Y,0.1325617968655215
2022-01-12,Momentum Tilt 6M/12M,1Y,0.14476101198138402
2022-01-13,Momentum Tilt 6M/12M,1Y,0.13235352465085337
2022-01-14,Momentum Tilt 6M/12M,1Y,0.15774841532336192
2022-01-17,Momentum Tilt 6M/12M,1Y,0.14898217851230555
2022-01-18,Momentum Tilt 6M/12M,1Y,0.13211242711935967
2022-01-19,Momentum Tilt 6M/12M,1Y,0.12450668138898346
2022-01-20,Momentum Tilt 6M/12M,1Y,0.09091641021822894
2022-01-21,Momentum Tilt 6M/12M,1Y,0.04031584703939295
2022-01-24,Momentum Tilt 6M/12M,1Y,0.04330263759780384
2022-01-25,Momentum Tilt 6M/12M,1Y,0.027996265156323252
2022-01-26,Momentum Tilt 6M/12M,1Y,0.0028488899164518244
2022-01-27,Momentum Tilt 6M/12M,1Y,-8.0429257292014e-05
2022-01-28,Momentum Tilt 6M/12M,1Y,-0.006969142001607809
2022-01-31,Momentum Tilt 6M/12M,1Y,-0.015438658760883461
2022-02-01,Momentum Tilt 6M/12M,1Y,-0.006051251488398579
2022-02-02,Momentum Tilt 6M/12M,1Y,-0.01609469264693275
2022-02-03,Momentum Tilt 6M/12M,1Y,-0.0135246529145574
2022-02-04,Momentum Tilt 6M/12M,1Y,-0.005065105702238171
2022-02-07,Momentum Tilt 6M/12M,1Y,0.0038057164290021817
2022-02-08,Momentum Tilt 6M/12M,1Y,-0.021041516893785195
2022-02-09,Momentum Tilt 6M/12M,1Y,-0.008640002684364934
2022-02-10,Momentum Tilt 6M/12M,1Y,0.0037426194307068616
2022-02-11,Momentum Tilt 6M/12M,1Y,-0.015969678058250336
2022-02-14,Momentum Tilt 6M/12M,1Y,-0.012122335563685471
2022-02-15,Momentum Tilt 6M/12M,1Y,-0.006475573692894754
2022-02-16,Momentum Tilt 6M/12M,1Y,-0.021711219028260897
2022-02-17,Momentum Tilt 6M/12M,1Y,-0.0290082113819341
2022-02-18,Momentum Tilt 6M/12M,1Y,-0.034703794736602234
2022-02-21,Momentum Tilt 6M/12M,1Y,-0.04738822531836151
2022-02-22,Momentum Tilt 6M/12M,1Y,-0.040269663972840375
2022-02-23,Momentum Tilt 6M/12M,1Y,-0.056071631125010235
2022-02-24,Momentum Tilt 6M/12M,1Y,-0.06259822427695161
2022-02-25,Momentum Tilt 6M/12M,1Y,-0.05044673649456999
2022-02-28,Momentum Tilt 6M/12M,1Y,-0.04292745379725127
2022-03-01,Momentum Tilt 6M/12M,1Y,-0.03425926985706007
2022-03-02,Momentum Tilt 6M/12M,1Y,-0.03362397632169878
2022-03-03,Momentum Tilt 6M/12M,1Y,-0.04485064991864607
2022-03-04,Momentum Tilt 6M/12M,1Y,-0.06513428268600041
2022-03-07,Momentum Tilt 6M/12M,1Y,-0.05982236021225851
2022-03-08,Momentum Tilt 6M/12M,1Y,-0.06302743175964043
2022-03-09,Momentum Tilt 6M/12M,1Y,-0.034373301764571984
2022-03-10,Momentum Tilt 6M/12M,1Y,-0.04521325306655544
2022-03-11,Momentum Tilt 6M/12M,1Y,-0.04092926762960425
2022-03-14,Momentum Tilt 6M/12M,1Y,-0.03234094408692023
2022-03-15,Momentum Tilt 6M/12M,1Y,-0.03631244791108146
2022-03-16,Momentum Tilt 6M/12M,1Y,-0.04350981788814412
2022-03-17,Momentum Tilt 6M/12M,1Y,-0.04710754335082279
2022-03-18,Momentum Tilt 6M/12M,1Y,-0.047496500834057764
2022-03-21,Momentum Tilt 6M/12M,1Y,-0.04226095731985091
2022-03-22,Momentum Tilt 6M/12M,1Y,-0.05058692469555415
2022-03-23,Momentum Tilt 6M/12M,1Y,-0.04975277019255886
2022-03-24,Momentum Tilt 6M/12M,1Y,-0.0572939892616553
2022-03-25,Momentum Tilt 6M/12M,1Y,-0.039390542906489134
2022-03-28,Momentum Tilt 6M/12M,1Y,-0.06155239087799136
2022-03-29,Momentum Tilt 6M/12M,1Y,-0.0703250128014159
2022-03-30,Momentum Tilt 6M/12M,1Y,-0.0911575594701034
2022-03-31,Momentum Tilt 6M/12M,1Y,-0.08542614933134862
2022-04-01,Momentum Tilt 6M/12M,1Y,-0.09047711291754434
